augmentation,accuracy,type,severity
rotation_45,0.1907,rotation,45
rotation_90,0.0569,rotation,90
rotation_200,0.2011,rotation,200
blur_3,0.8632,blur,3
blur_5,0.8098,blur,5
blur_11,0.767,blur,11
"shift_(5, 0)",0.3307,shift,"(5, 0)"
"shift_(-5, 0)",0.2467,shift,"(-5, 0)"
"shift_(0, 5)",0.6102,shift,"(0, 5)"
"shift_(0, -5)",0.549,shift,"(0, -5)"
"rotate_blur_(45, 3)",0.1794,rotate_blur,"(45, 3)"
"rotate_blur_(90, 5)",0.0473,rotate_blur,"(90, 5)"
"shift_rotate_blur_((5, 0), 45, 3)",0.2428,shift_rotate_blur,"((5, 0), 45, 3)"
"shift_rotate_blur_((-5, 0), 90, 5)",0.0689,shift_rotate_blur,"((-5, 0), 90, 5)"
